defect_id,production_id,defect_type,defect_quantity,inspection_date
89,74755,Alignment Issue,41.0,2024-03-28
90,23971,Crack,42.0,2025-09-28
91,37391,Alignment Issue,9.0,2024-08-15
92,63038,Crack,23.0,2025-12-07
93,62833,Alignment Issue,46.0,2024-03-31
94,77204,Color Mismatch,2.0,2025-03-01
95,85106,Alignment Issue,28.0,2024-11-24
96,47213,Color Mismatch,36.0,2025-02-19
97,31724,Material Fault,13.0,2025-04-23
98,9964,Crack,7.0,2024-08-08
99,58226,Material Fault,33.0,2025-12-26
100,90149,Crack,,2024-08-02
101,55657,Material Fault,20.0,2025-07-08
102,76106,Alignment Issue,47.0,2026-02-17
103,93295,Crack,43.0,2025-03-18
104,92135,Crack,16.0,2024-08-02
105,95965,Color Mismatch,13.0,2025-12-28
106,9629,Alignment Issue,20.0,2024-10-07
107,20844,Alignment Issue,28.0,2025-04-15
108,18835,Alignment Issue,10.0,2025-02-26
109,27344,Alignment Issue,12.0,2025-08-31
110,43965,Color Mismatch,2.0,2024-06-21
111,13435,Material Fault,18.0,2025-05-21
112,80535,Color Mismatch,29.0,2024-04-10
113,78581,Crack,11.0,2025-09-25
114,84212,Crack,41.0,2024-03-11
115,15196,Crack,14.0,2024-05-27
116,71188,Material Fault,5.0,2025-02-03
117,23489,Alignment Issue,5.0,2024-07-23
118,14609,Color Mismatch,5.0,2024-08-24
119,40263,Color Mismatch,45.0,2024-12-09
120,67369,Material Fault,16.0,2024-04-25
121,95781,Crack,4.0,2025-07-11
122,84822,Color Mismatch,29.0,2025-01-23
123,43723,Color Mismatch,43.0,2024-03-07
124,46398,Crack,30.0,2024-10-01
125,73009,Alignment Issue,9.0,2025-10-21
126,75835,Alignment Issue,46.0,2025-08-11
127,43832,Crack,40.0,2025-08-31
128,13918,Crack,9.0,2024-07-15
129,62791,Color Mismatch,19.0,2025-05-18
130,68294,Crack,35.0,2024-03-02
131,55902,Material Fault,40.0,2025-08-25
132,24710,Alignment Issue,,2024-04-03
133,3865,Material Fault,17.0,2024-08-18
134,18451,Material Fault,34.0,2025-05-11
135,16933,Color Mismatch,38.0,2025-01-30
136,6541,Alignment Issue,33.0,2025-02-22
137,40487,Material Fault,27.0,2024-07-13
138,95190,Alignment Issue,16.0,2025-01-19
139,45154,Material Fault,45.0,2024-04-11
140,53375,Crack,27.0,2024-07-20
141,27411,Alignment Issue,7.0,2025-02-13
142,43038,Alignment Issue,39.0,2025-07-24
143,50283,Crack,48.0,2025-02-19
144,71092,Material Fault,40.0,2024-11-04
145,60954,Alignment Issue,43.0,2024-04-10
146,2028,Color Mismatch,9.0,2025-06-12
147,94115,Alignment Issue,27.0,2024-04-30
148,72089,Alignment Issue,24.0,2024-08-22
149,82299,Color Mismatch,3.0,2024-05-25
150,99556,Alignment Issue,35.0,2024-05-08
151,72329,Material Fault,48.0,2024-03-05
152,87109,Color Mismatch,21.0,2024-07-30
153,92815,Color Mismatch,22.0,2025-12-14
154,34908,Alignment Issue,6.0,2024-10-14
155,35732,Crack,21.0,2026-02-15
156,99929,Alignment Issue,24.0,2025-07-18
157,2851,Material Fault,23.0,2024-07-04
158,15368,Alignment Issue,23.0,2025-06-22
159,87926,Crack,37.0,2024-03-27
160,43258,Crack,17.0,2024-04-07
161,41394,Material Fault,14.0,2025-11-07
162,4084,Crack,27.0,2025-11-11
163,14181,Crack,27.0,2025-11-18
164,59040,Material Fault,49.0,2026-01-01
165,59760,Color Mismatch,2.0,2025-08-02
166,273,Crack,48.0,2025-04-21
167,43522,Alignment Issue,32.0,2025-11-30
168,92437,Color Mismatch,35.0,2024-10-18
169,90176,Material Fault,21.0,2025-03-22
170,46924,Crack,6.0,2024-05-27
171,26394,Crack,28.0,2024-03-01
172,88585,Color Mismatch,9.0,2026-01-13
173,99097,Material Fault,36.0,2025-07-06
174,86335,Material Fault,48.0,2024-09-11
175,59265,Crack,1.0,2025-05-04
176,18017,Material Fault,23.0,2024-08-18
177,44291,Color Mismatch,10.0,2025-06-06
178,83996,Color Mismatch,36.0,2026-01-26
179,70736,Crack,15.0,2024-08-30
180,47243,Material Fault,39.0,2025-10-20
181,18839,Color Mismatch,17.0,2024-07-16
182,9463,Color Mismatch,9.0,2025-07-17
183,86025,Crack,42.0,2025-05-28
184,19483,Crack,3.0,2025-12-29
185,15997,Crack,4.0,2024-03-08
186,52613,Alignment Issue,42.0,2025-07-06
187,68127,Alignment Issue,37.0,2025-05-14
188,29886,Alignment Issue,38.0,2025-02-27
189,5197,Alignment Issue,13.0,2024-11-03
190,50623,Alignment Issue,47.0,2024-07-14
191,30934,Color Mismatch,10.0,2025-09-22
192,64443,Color Mismatch,32.0,2024-08-29
193,7196,Alignment Issue,1.0,2026-01-17
194,87886,Alignment Issue,6.0,2025-01-20
195,51135,Color Mismatch,21.0,2024-11-06
196,76620,Material Fault,10.0,2025-07-15
197,10081,Material Fault,31.0,2024-10-07
198,23040,Alignment Issue,38.0,2025-08-01
199,42179,Crack,48.0,2024-03-07
200,69450,Material Fault,14.0,2024-04-26
201,79117,Alignment Issue,9.0,2026-02-08
202,17495,Crack,36.0,2024-05-03
203,30548,Crack,46.0,2024-03-26
204,86978,Alignment Issue,46.0,2026-01-26
205,45010,Crack,25.0,2025-04-23
206,49390,Alignment Issue,,2024-03-17
207,42796,Crack,6.0,2024-03-06
208,66080,Material Fault,18.0,2024-04-23
209,39325,Color Mismatch,,2025-11-10
210,9637,Material Fault,14.0,2025-03-16
211,92411,Crack,16.0,2025-06-11
212,84527,Material Fault,46.0,2024-07-31
213,23929,Alignment Issue,41.0,2025-06-05
214,29886,Color Mismatch,38.0,2025-12-20
215,21966,Crack,28.0,2025-04-24
216,59471,Crack,46.0,2024-08-24
217,48813,Color Mismatch,32.0,2025-08-17
218,91018,Alignment Issue,22.0,2025-09-12
219,14143,Alignment Issue,45.0,2025-09-12
220,91520,Color Mismatch,1.0,2025-12-28
221,77707,Alignment Issue,32.0,2025-06-30
222,72468,Alignment Issue,1.0,2025-04-16
223,79597,Crack,44.0,2025-06-30
224,93803,Crack,46.0,2024-12-30
225,39733,Material Fault,46.0,2025-10-18
226,91871,Color Mismatch,38.0,2024-03-17
227,8136,Alignment Issue,31.0,2025-09-30
228,82472,Material Fault,23.0,2025-11-07
229,16971,Crack,32.0,2024-04-30
230,29913,Crack,9.0,2024-11-18
231,72657,Alignment Issue,38.0,2025-12-14
232,36133,Crack,14.0,2025-11-08
233,15544,Alignment Issue,9.0,2024-03-27
234,86159,Crack,22.0,2025-12-04
235,94933,Crack,32.0,2024-11-03
236,77277,Alignment Issue,19.0,2026-02-06
237,21716,Crack,31.0,2025-05-05
238,99209,Color Mismatch,26.0,2024-05-27
239,75855,Material Fault,3.0,2025-05-14
240,54634,Crack,47.0,2025-04-24
241,11312,Color Mismatch,32.0,2026-01-26
242,34892,Alignment Issue,22.0,2025-07-27
243,39163,Color Mismatch,14.0,2024-05-11
244,28121,Crack,48.0,2025-12-05
245,29268,Material Fault,1.0,2025-05-04
246,64217,Alignment Issue,22.0,2025-07-11
247,61870,Crack,32.0,2025-01-21
248,98986,Crack,30.0,2024-03-30
249,13139,Alignment Issue,9.0,2025-03-27
250,73409,Material Fault,3.0,2024-08-12
251,75354,Color Mismatch,43.0,2024-09-11
252,84167,Crack,5.0,2024-12-24
253,84189,Material Fault,1.0,2024-06-04
254,23090,Crack,40.0,2024-06-10
255,55991,Material Fault,14.0,2025-10-20
256,50541,Alignment Issue,47.0,2026-02-17
257,78936,Material Fault,46.0,2024-11-18
258,36930,Color Mismatch,14.0,2024-04-25
259,84509,Material Fault,2.0,2025-04-29
260,88821,Material Fault,48.0,2025-01-13
261,69894,Material Fault,5.0,2025-02-08
262,26118,Material Fault,27.0,2024-04-27
263,59823,Material Fault,9.0,2024-05-26
264,16369,Color Mismatch,7.0,2024-07-22
265,72445,Alignment Issue,19.0,2025-08-23
266,21603,Color Mismatch,44.0,2025-01-22
267,63606,Material Fault,43.0,2024-10-31
268,42813,Alignment Issue,32.0,2025-01-17
269,95842,Material Fault,4.0,2024-05-15
270,71576,Color Mismatch,47.0,2025-10-14
271,1787,Alignment Issue,24.0,2024-03-31
272,5764,Alignment Issue,28.0,2025-04-22
273,10579,Color Mismatch,48.0,2024-05-24
274,38649,Material Fault,6.0,2024-04-17
275,87284,Material Fault,43.0,2025-12-17
276,35384,Alignment Issue,7.0,2024-07-01
277,22574,Color Mismatch,40.0,2024-05-31
278,25621,Crack,16.0,2024-09-03
279,48430,Crack,41.0,2025-04-01
280,96499,Material Fault,15.0,2026-01-20
281,63208,Alignment Issue,12.0,2026-01-25
282,22389,Material Fault,21.0,2024-08-17
283,84942,Crack,2.0,2025-12-19
284,67541,Color Mismatch,14.0,2025-12-03
285,1180,Material Fault,48.0,2024-06-19
286,14288,Alignment Issue,12.0,2025-11-15
287,289,Material Fault,36.0,2024-08-11
288,2805,Color Mismatch,37.0,2025-10-05
289,43569,Material Fault,30.0,2024-03-25
290,15044,Material Fault,46.0,2024-09-27
291,37938,Crack,35.0,2024-04-01
292,8867,Crack,8.0,2025-05-14
293,67728,Material Fault,5.0,2025-02-20
294,87544,Crack,3.0,2026-01-13
295,68981,Material Fault,27.0,2025-06-06
296,80931,Crack,41.0,2025-12-11
297,69676,Alignment Issue,25.0,2024-11-25
298,64150,Color Mismatch,43.0,2025-03-07
299,23632,Material Fault,36.0,2024-10-19
300,3038,Material Fault,14.0,2025-01-04
301,95078,Alignment Issue,26.0,2024-12-20
302,81122,Crack,27.0,2025-12-08
303,53230,Crack,39.0,2025-11-05
304,97636,Crack,10.0,2026-01-18
305,68943,Color Mismatch,8.0,2025-06-07
306,68892,Material Fault,11.0,2024-09-19
307,49604,Alignment Issue,7.0,2026-02-08
308,33295,Color Mismatch,45.0,2026-02-11
309,83945,Material Fault,47.0,2024-12-13
310,14563,Color Mismatch,33.0,2025-06-21
311,26779,Crack,43.0,2024-05-23
312,2622,Color Mismatch,18.0,2025-06-12
313,7655,Color Mismatch,24.0,2024-03-03
314,72255,Color Mismatch,41.0,2024-07-24
315,99563,Alignment Issue,17.0,2026-01-04
316,71746,Crack,2.0,2024-11-29
317,94462,Crack,41.0,2025-05-31
318,86303,Crack,2.0,2025-03-28
319,80940,Material Fault,48.0,2025-04-08
320,74106,Alignment Issue,18.0,2025-09-08
321,86320,Alignment Issue,21.0,2024-06-16
322,10313,Crack,1.0,2024-09-04
323,369,Alignment Issue,25.0,2025-07-27
324,54714,Color Mismatch,44.0,2024-03-29
325,43335,Crack,24.0,2025-11-21
326,22767,Material Fault,42.0,2026-01-16
327,2326,Alignment Issue,8.0,2024-04-13
328,20115,Crack,49.0,2024-07-19
329,73551,Alignment Issue,5.0,2025-04-01
330,80397,Color Mismatch,23.0,2024-11-02
331,29409,Crack,48.0,2025-11-04
332,18152,Material Fault,6.0,2025-04-28
333,18331,Color Mismatch,20.0,2025-07-11
334,72283,Crack,43.0,2025-06-05
335,79507,Alignment Issue,7.0,2024-12-07
336,74799,Alignment Issue,19.0,2025-02-06
337,38924,Color Mismatch,4.0,2024-09-12
338,3581,Material Fault,28.0,2025-03-09
339,21300,Material Fault,7.0,2026-02-14
340,20299,Alignment Issue,27.0,2025-02-10
341,1989,Alignment Issue,18.0,2026-02-19
342,56375,Color Mismatch,,2026-02-13
343,44176,Material Fault,34.0,2024-07-17
344,44327,Material Fault,49.0,2025-03-18
345,69895,Alignment Issue,7.0,2025-06-21
346,87890,Crack,40.0,2024-12-29
347,80028,Crack,8.0,2025-04-24
348,83318,Material Fault,43.0,2025-03-26
349,24397,Crack,20.0,2025-06-24
350,37605,Color Mismatch,31.0,2026-01-31
351,72020,Alignment Issue,19.0,2026-02-12
352,67554,Alignment Issue,48.0,2024-05-18
353,65199,Crack,13.0,2024-05-27
354,49429,Material Fault,45.0,2025-04-17
355,94822,Material Fault,7.0,2024-05-03
356,21675,Alignment Issue,25.0,2025-07-21
357,74221,Crack,7.0,2025-10-17
358,47016,Crack,26.0,2025-05-26
359,57820,Crack,,2025-02-08
360,47186,Crack,29.0,2025-01-06
361,2140,Color Mismatch,42.0,2025-05-04
362,25198,Alignment Issue,32.0,2025-01-23
363,24835,Crack,16.0,2024-03-18
364,61461,Alignment Issue,15.0,2024-09-30
365,68092,Crack,2.0,2026-01-16
366,10026,Alignment Issue,13.0,2024-09-05
367,22831,Color Mismatch,38.0,2025-02-23
368,23129,Color Mismatch,43.0,2025-09-15
369,54440,Material Fault,39.0,2025-12-20
370,28475,Alignment Issue,42.0,2025-08-04
371,72270,Alignment Issue,13.0,2024-08-17
372,30202,Material Fault,20.0,2025-04-19
373,22029,Material Fault,43.0,2024-09-28
374,62782,Color Mismatch,45.0,2024-04-16
375,6368,Color Mismatch,44.0,2025-10-26
376,28357,Crack,33.0,2024-06-20
377,75359,Alignment Issue,13.0,2026-01-05
378,28617,Material Fault,42.0,2025-10-23
379,1114,Alignment Issue,49.0,2024-06-01
380,25867,Crack,6.0,2025-04-27
381,43882,Alignment Issue,15.0,2024-02-26
382,13322,Crack,7.0,2026-01-14
383,45950,Material Fault,43.0,2025-05-08
384,12079,Material Fault,22.0,2025-08-12
385,20261,Color Mismatch,28.0,2025-07-16
386,76905,Material Fault,40.0,2024-05-02
387,82054,Alignment Issue,14.0,2024-07-12
388,44788,Material Fault,37.0,2025-07-06
389,20379,Color Mismatch,27.0,2024-08-11
390,33547,Alignment Issue,2.0,2025-10-07
391,9770,Alignment Issue,12.0,2025-10-18
392,29157,Crack,20.0,2024-08-18
393,45330,Color Mismatch,24.0,2025-09-25
394,1854,Color Mismatch,42.0,2025-03-14
395,37306,Alignment Issue,3.0,2024-04-14
396,26861,Color Mismatch,23.0,2024-03-23
397,75911,Crack,44.0,2024-11-20
398,93065,Material Fault,26.0,2026-01-04
399,56909,Alignment Issue,15.0,2025-04-09
400,67238,Alignment Issue,49.0,2025-06-22
401,78789,Material Fault,27.0,2025-02-17
402,86540,Material Fault,12.0,2025-01-23
403,7056,Material Fault,9.0,2024-08-29
404,39286,Crack,34.0,2025-07-10
405,39997,Crack,34.0,2025-11-05
406,82860,Color Mismatch,25.0,2025-04-01
407,98421,Material Fault,,2025-02-14
408,80885,Color Mismatch,20.0,2024-12-21
409,44753,Crack,37.0,2024-12-15
410,21319,Alignment Issue,15.0,2024-06-29
411,67074,Alignment Issue,25.0,2024-07-23
412,18659,Alignment Issue,43.0,2025-06-03
413,37030,Material Fault,21.0,2024-12-25
414,6174,Material Fault,24.0,2025-07-15
415,39463,Alignment Issue,24.0,2025-02-27
416,13118,Alignment Issue,39.0,2025-09-16
417,96247,Color Mismatch,38.0,2025-02-03
418,86985,Material Fault,20.0,2025-04-06
419,40138,Color Mismatch,37.0,2026-01-19
420,57997,Color Mismatch,45.0,2025-05-15
421,31575,Alignment Issue,28.0,2024-11-10
422,27122,Color Mismatch,19.0,2026-01-06
423,52769,Crack,3.0,2024-06-23
424,8977,Alignment Issue,25.0,2024-08-22
425,48919,Crack,34.0,2025-08-18
426,15607,Color Mismatch,21.0,2024-10-31
427,55419,Alignment Issue,9.0,2024-11-25
428,998,Color Mismatch,42.0,2025-09-17
429,26586,Crack,47.0,2024-07-29
430,64889,Color Mismatch,1.0,2025-09-28
431,28836,Alignment Issue,10.0,2025-04-17
432,75534,Material Fault,26.0,2024-11-22
433,42405,Color Mismatch,11.0,2025-05-31
434,25168,Color Mismatch,31.0,2025-01-03
435,40425,Color Mismatch,47.0,2025-06-30
436,42699,Alignment Issue,21.0,2024-07-28
437,32749,Alignment Issue,43.0,2025-01-30
438,27430,Crack,24.0,2025-07-12
439,28869,Alignment Issue,12.0,2024-09-01
440,75033,Crack,41.0,2024-04-12
441,7259,Alignment Issue,4.0,2024-06-04
442,96889,Alignment Issue,21.0,2024-10-30
443,90766,Material Fault,35.0,2025-02-08
444,6787,Crack,2.0,2025-05-17
445,67492,Crack,13.0,2025-03-23
446,67959,Alignment Issue,10.0,2025-10-23
447,20961,Color Mismatch,28.0,2024-08-01
448,26589,Material Fault,29.0,2025-06-04
449,6077,Alignment Issue,37.0,2025-01-02
450,74516,Color Mismatch,5.0,2025-01-17
451,4855,Color Mismatch,23.0,2024-08-27
452,56214,Crack,49.0,2024-05-16
453,70025,Alignment Issue,30.0,2025-04-27
454,4978,Alignment Issue,36.0,2024-08-01
455,97848,Material Fault,15.0,2025-06-30
456,28249,Color Mismatch,20.0,2025-11-12
457,52773,Alignment Issue,24.0,2024-11-07
458,89187,Material Fault,16.0,2025-12-03
459,43145,Color Mismatch,34.0,2025-02-17
460,59773,Material Fault,3.0,2025-06-02
461,31035,Crack,26.0,2025-01-26
462,44895,Crack,45.0,2024-09-22
463,32118,Crack,32.0,2025-05-23
464,83566,Color Mismatch,9.0,2025-10-25
465,50883,Material Fault,48.0,2025-12-14
466,62489,Color Mismatch,10.0,2026-02-09
467,34224,Crack,9.0,2025-11-13
468,97956,Color Mismatch,12.0,2024-09-14
469,73720,Material Fault,38.0,2025-08-20
470,53990,Alignment Issue,30.0,2025-11-14
471,4418,Alignment Issue,36.0,2025-05-25
472,66295,Material Fault,17.0,2025-02-28
473,89904,Crack,39.0,2026-02-01
474,85821,Material Fault,48.0,2024-11-20
475,2631,Color Mismatch,48.0,2025-08-28
476,9101,Crack,13.0,2024-08-03
477,52914,Color Mismatch,,2026-02-16
478,57325,Crack,48.0,2024-05-14
479,7165,Color Mismatch,14.0,2024-03-03
480,33843,Alignment Issue,32.0,2025-05-18
481,57978,Color Mismatch,32.0,2024-09-04
482,7581,Alignment Issue,21.0,2024-04-15
483,51130,Material Fault,7.0,2025-07-25
484,26468,Alignment Issue,49.0,2025-06-30
485,59824,Alignment Issue,17.0,2025-05-21
486,97678,Alignment Issue,,2024-04-06
487,81555,Crack,32.0,2025-10-01
488,86976,Crack,47.0,2026-01-15
489,13665,Material Fault,22.0,2024-05-12
490,99611,Alignment Issue,20.0,2025-11-29
491,31875,Color Mismatch,8.0,2025-10-15
492,69127,Color Mismatch,17.0,2024-09-24
493,72118,Alignment Issue,15.0,2026-02-17
494,16892,Color Mismatch,41.0,2025-06-21
495,73124,Color Mismatch,12.0,2024-07-09
496,72984,Material Fault,41.0,2024-08-16
497,40402,Material Fault,21.0,2025-05-10
498,17747,Crack,13.0,2024-10-13
499,56369,Color Mismatch,46.0,2024-12-16
500,29134,Material Fault,34.0,2024-12-08
501,67561,Material Fault,35.0,2025-10-24
502,4951,Color Mismatch,4.0,2025-12-21
503,8157,Crack,1.0,2025-01-20
504,78278,Color Mismatch,32.0,2024-09-01
505,43582,Material Fault,48.0,2025-07-03
506,50674,Material Fault,17.0,2025-01-23
507,68601,Color Mismatch,25.0,2025-11-18
508,922,Crack,18.0,2024-08-11
509,2216,Material Fault,11.0,2025-01-14
510,3967,Alignment Issue,9.0,2024-04-11
511,41572,Crack,16.0,2025-12-10
512,86754,Color Mismatch,3.0,2025-09-09
513,42395,Alignment Issue,26.0,2024-11-12
514,6057,Material Fault,21.0,2025-06-02
515,78200,Alignment Issue,9.0,2024-10-27
516,94663,Material Fault,16.0,2025-07-31
517,98943,Alignment Issue,1.0,2025-02-16
518,28823,Crack,29.0,2024-04-06
519,29443,Material Fault,31.0,2024-11-08
520,64174,Crack,10.0,2025-02-04
521,95445,Material Fault,11.0,2025-03-10
522,38462,Material Fault,42.0,2024-09-19
523,1098,Material Fault,34.0,2025-07-14
524,85839,Crack,2.0,2024-07-22
525,96040,Alignment Issue,44.0,2024-08-02
526,91519,Alignment Issue,,2026-01-21
527,94052,Alignment Issue,15.0,2024-11-05
528,9535,Crack,11.0,2024-11-28
529,94424,Alignment Issue,10.0,2025-12-10
530,85533,Color Mismatch,37.0,2025-11-23
531,80295,Alignment Issue,14.0,2025-04-07
532,79119,Alignment Issue,13.0,2024-10-08
533,15436,Crack,47.0,2025-05-01
534,70648,Material Fault,3.0,2025-09-17
535,99310,Crack,19.0,2025-07-15
536,50856,Material Fault,40.0,2025-08-04
537,35081,Crack,48.0,2024-11-03
538,56381,Crack,48.0,2025-05-06
539,75032,Alignment Issue,9.0,2024-04-03
540,14535,Color Mismatch,17.0,2024-04-06
541,50312,Alignment Issue,16.0,2026-02-06
542,82616,Material Fault,4.0,2024-06-03
543,97241,Alignment Issue,11.0,2026-02-22
544,86343,Alignment Issue,45.0,2024-06-18
545,1736,Color Mismatch,43.0,2025-07-07
546,75604,Crack,36.0,2024-10-19
547,10042,Alignment Issue,23.0,2025-05-30
548,51630,Material Fault,22.0,2025-03-15
549,15049,Color Mismatch,9.0,2025-12-03
550,9564,Color Mismatch,4.0,2025-02-26
551,15000,Material Fault,35.0,2024-09-20
552,68884,Alignment Issue,7.0,2025-05-20
553,3188,Alignment Issue,18.0,2025-07-14
554,98491,Crack,21.0,2024-05-10
555,24006,Color Mismatch,28.0,2025-05-13
556,81878,Color Mismatch,27.0,2025-07-29
557,81775,Material Fault,26.0,2024-03-12
558,93268,Crack,16.0,2024-06-11
559,98814,Crack,47.0,2025-09-17
560,63503,Alignment Issue,,2025-11-25
561,87532,Material Fault,35.0,2025-08-08
562,32498,Alignment Issue,21.0,2025-01-18
563,81911,Crack,28.0,2025-11-18
564,74035,Alignment Issue,42.0,2025-02-19
565,9103,Material Fault,25.0,2025-03-28
566,73351,Crack,34.0,2025-09-14
567,53907,Material Fault,28.0,2024-03-12
568,56768,Alignment Issue,46.0,2024-06-08
569,49934,Material Fault,11.0,2024-09-18
570,16464,Crack,28.0,2025-01-10
571,44725,Alignment Issue,2.0,2026-02-02
572,90623,Crack,37.0,2025-11-18
573,31592,Alignment Issue,20.0,2025-06-19
574,47607,Material Fault,27.0,2024-06-11
575,82720,Color Mismatch,42.0,2025-11-08
576,87959,Material Fault,45.0,2026-02-10
577,61872,Color Mismatch,9.0,2025-11-05
578,89715,Alignment Issue,13.0,2025-05-18
579,22051,Material Fault,9.0,2025-05-08
580,43091,Crack,17.0,2025-03-31
581,32345,Material Fault,16.0,2025-12-04
582,91647,Color Mismatch,38.0,2026-01-11
583,98314,Material Fault,43.0,2025-08-22
584,97475,Material Fault,36.0,2024-02-28
585,2400,Color Mismatch,6.0,2025-11-18
586,22463,Crack,13.0,2024-03-02
587,9172,Alignment Issue,43.0,2025-09-30
588,14610,Crack,38.0,2025-04-09
589,16250,Color Mismatch,38.0,2025-01-03
590,28773,Material Fault,1.0,2025-09-13
591,8710,Alignment Issue,8.0,2025-01-31
592,32363,Color Mismatch,44.0,2024-07-18
593,99248,Color Mismatch,49.0,2025-12-29
594,75842,Material Fault,34.0,2024-07-31
595,37649,Material Fault,1.0,2024-04-12
596,94609,Crack,43.0,2024-04-26
597,8877,Alignment Issue,29.0,2025-07-20
598,16563,Material Fault,35.0,2025-01-28
599,57991,Material Fault,30.0,2025-07-17
600,81857,Material Fault,19.0,2025-06-23
601,87375,Alignment Issue,40.0,2025-08-14
602,86685,Alignment Issue,13.0,2025-11-09
603,43612,Material Fault,17.0,2024-07-18
604,77201,Color Mismatch,35.0,2025-08-18
605,15021,Color Mismatch,38.0,2025-11-08
606,65002,Material Fault,18.0,2025-08-18
607,88228,Color Mismatch,37.0,2024-07-22
608,64292,Material Fault,33.0,2024-04-08
609,85698,Alignment Issue,36.0,2024-10-25
610,35689,Material Fault,4.0,2025-07-30
611,84766,Alignment Issue,33.0,2024-09-29
612,48065,Material Fault,32.0,2025-10-29
613,516,Crack,25.0,2024-07-14
614,58813,Material Fault,14.0,2025-02-24
615,90007,Color Mismatch,26.0,2024-04-18
616,91813,Material Fault,45.0,2026-01-17
617,90565,Crack,48.0,2024-05-31
618,92724,Color Mismatch,6.0,2024-05-10
619,59481,Color Mismatch,26.0,2025-05-29
620,38734,Material Fault,12.0,2024-11-28
621,9591,Material Fault,10.0,2025-12-18
